"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15848","Verify error message when an incorrect password is entered {TC04}","","Tue Oct 07 10:07:00 IST 2025","passed","Tue Oct 07 10:07:16 IST 2025","","Login screen all senarios in English","",""
"","8573","Offline mode app kill state verification","","Tue Oct 07 11:49:45 IST 2025","passed","Tue Oct 07 11:49:54 IST 2025","","Existing patient E2E flow in Spanish","",""
"","160594","SOAP NOTE  & Transcript Verification for the First conversation","","Tue Oct 07 11:15:51 IST 2025","passed","Tue Oct 07 11:18:32 IST 2025","","new patient E2E flow -English ","",""
"","17570","Verify  message when the password is wrong","","Tue Oct 07 10:07:42 IST 2025","passed","Tue Oct 07 10:08:00 IST 2025","","Login screen all senarios in English","",""
"","145629","SOAP NOTE  & Transcript Verification for the First conversation","","Tue Oct 07 11:50:41 IST 2025","passed","Tue Oct 07 11:53:07 IST 2025","","Existing patient E2E flow in Spanish","",""
"","1","Verify Settings screen Profille Edit","","Tue Oct 07 10:09:18 IST 2025","skipped","Tue Oct 07 10:09:18 IST 2025","","Setting screen elments and functinality verification -English","",""
"","267912","Recording the conversation for multiple times offline ","","Tue Oct 07 11:45:17 IST 2025","passed","Tue Oct 07 11:49:45 IST 2025","","Existing patient E2E flow in Spanish","",""
"","13059","Verify Settings screen support_VerifiCation ","","Tue Oct 07 10:09:18 IST 2025","passed","Tue Oct 07 10:09:31 IST 2025","","Setting screen elments and functinality verification -English","",""
"","31788","Finalizing the encounter","","Tue Oct 07 11:05:21 IST 2025","passed","Tue Oct 07 11:05:53 IST 2025","","Existing patient E2E flow in English","",""
"","126007","Regenerate SOAP_Note and update verification","","Tue Oct 07 12:12:02 IST 2025","passed","Tue Oct 07 12:14:08 IST 2025","","Existing patient E2E flow in Spanish","",""
"","49477","HayNoki update verification","","Tue Oct 07 12:14:08 IST 2025","passed","Tue Oct 07 12:14:57 IST 2025","","Existing patient E2E flow in Spanish","",""
"","250528","Recording the conversation for multiple times offline ","","Tue Oct 07 10:38:13 IST 2025","passed","Tue Oct 07 10:42:24 IST 2025","","Existing patient E2E flow in English","",""
"","203629","Thiord Conversation {makingh the converastion as draft and completing the draft Transcript }","","Tue Oct 07 10:50:57 IST 2025","passed","Tue Oct 07 10:54:21 IST 2025","","Existing patient E2E flow in English","",""
"","145978","SOAP NOTE  & Transcript Verification for the Third Conversation","","Tue Oct 07 12:37:47 IST 2025","passed","Tue Oct 07 12:40:13 IST 2025","","New patient E2E flow -Spnish","",""
"","27077","Verify Settings screen launguage and general settings","","Tue Oct 07 11:44:04 IST 2025","passed","Tue Oct 07 11:44:32 IST 2025","","Setting screen elments and functinalily verification -Spanish","",""
"","130361","SOAP NOTE  & Transcript Verification for the second conversation","","Tue Oct 07 12:28:33 IST 2025","passed","Tue Oct 07 12:30:43 IST 2025","","New patient E2E flow -Spnish","",""
"","45548","Offline mode app pause/Stop buttons verification","","Tue Oct 07 12:23:32 IST 2025","passed","Tue Oct 07 12:24:17 IST 2025","","New patient E2E flow -Spnish","",""
"","33640","Finalizing the encounter","","Tue Oct 07 11:35:44 IST 2025","passed","Tue Oct 07 11:36:18 IST 2025","","new patient E2E flow -English ","",""
"","20261","Verify error message when password is not provided {TC03}","","Tue Oct 07 11:40:51 IST 2025","passed","Tue Oct 07 11:41:11 IST 2025","","Login screen all scenarios in Spanish ","",""
"","54987","Referall leter genaration and Regenaration","","Tue Oct 07 12:11:07 IST 2025","passed","Tue Oct 07 12:12:02 IST 2025","","Existing patient E2E flow in Spanish","",""
"","106912","Regenerate SOAP Note and update Patient-info verification","","Tue Oct 07 12:46:29 IST 2025","passed","Tue Oct 07 12:48:16 IST 2025","","New patient E2E flow -Spnish","",""
"","19711","Verify  message entering not rigistered email in forgot password screen","","Tue Oct 07 11:38:17 IST 2025","passed","Tue Oct 07 11:38:37 IST 2025","","Forgot Password all scenarios in spanish","",""
"","47362","Offline mode app pause/Stop buttons verification","","Tue Oct 07 11:49:54 IST 2025","passed","Tue Oct 07 11:50:41 IST 2025","","Existing patient E2E flow in Spanish","",""
"","0","HayNoki update verification","","Tue Oct 07 12:48:16 IST 2025","skipped","Tue Oct 07 12:48:16 IST 2025","","New patient E2E flow -Spnish","",""
"","0"," HayNoki update verification","","Tue Oct 07 11:35:44 IST 2025","skipped","Tue Oct 07 11:35:44 IST 2025","","new patient E2E flow -English ","",""
"","76248","Offline mode app pause/Stop buttons verification","","Tue Oct 07 11:14:35 IST 2025","passed","Tue Oct 07 11:15:51 IST 2025","","new patient E2E flow -English ","",""
"","16074","Verify  message when the password is wrong","","Tue Oct 07 11:41:53 IST 2025","passed","Tue Oct 07 11:42:09 IST 2025","","Login screen all scenarios in Spanish ","",""
"","125097","Second Conversation Intiation ","","Tue Oct 07 11:18:32 IST 2025","passed","Tue Oct 07 11:20:37 IST 2025","","new patient E2E flow -English ","",""
"","22091","Verify Settings screen support verification ","","Tue Oct 07 11:43:42 IST 2025","passed","Tue Oct 07 11:44:04 IST 2025","","Setting screen elments and functinalily verification -Spanish","",""
"","19208","Finalizing the encounter","","Tue Oct 07 12:48:16 IST 2025","passed","Tue Oct 07 12:48:35 IST 2025","","New patient E2E flow -Spnish","",""
"","175922","ICD & CPT Codes Generation and Regeneration","","Tue Oct 07 11:27:42 IST 2025","passed","Tue Oct 07 11:30:38 IST 2025","","new patient E2E flow -English ","",""
"","0"," Manual update verification","","Tue Oct 07 11:04:40 IST 2025","skipped","Tue Oct 07 11:04:40 IST 2025","","Existing patient E2E flow in English","",""
"","19074","Verify  message when the email is multitenent{TC08}","","Tue Oct 07 11:42:09 IST 2025","passed","Tue Oct 07 11:42:29 IST 2025","","Login screen all scenarios in Spanish ","",""
"","128781","Second Conversation Intiation ","","Tue Oct 07 10:46:12 IST 2025","passed","Tue Oct 07 10:48:21 IST 2025","","Existing patient E2E flow in English","",""
"","13492","Verify  message entering not rigistered email in forgot password screen","","Tue Oct 07 10:05:32 IST 2025","passed","Tue Oct 07 10:05:46 IST 2025","","Forgot Password all scenarios in English","",""
"","8315","Verify error message when the email is not registered {TC08}","","Tue Oct 07 11:41:45 IST 2025","passed","Tue Oct 07 11:41:53 IST 2025","","Login screen all scenarios in Spanish ","",""
"","8600","Verify error message when the email is not registered {TC08}","","Tue Oct 07 10:07:34 IST 2025","passed","Tue Oct 07 10:07:42 IST 2025","","Login screen all senarios in English","",""
"","1","manual Update verification","","Tue Oct 07 12:48:16 IST 2025","skipped","Tue Oct 07 12:48:16 IST 2025","","New patient E2E flow -Spnish","",""
"","53873","Referall leter genaration and Regenaration","","Tue Oct 07 11:32:58 IST 2025","passed","Tue Oct 07 11:33:51 IST 2025","","new patient E2E flow -English ","",""
"","69283","Care Plan generation and Regeneration ","","Tue Oct 07 11:30:38 IST 2025","passed","Tue Oct 07 11:31:47 IST 2025","","new patient E2E flow -English ","",""
"","135106","SOAP NOTE  & Transcript Verification for the Third Conversation","","Tue Oct 07 12:03:37 IST 2025","passed","Tue Oct 07 12:05:52 IST 2025","","Existing patient E2E flow in Spanish","",""
"","112756","Regenerate SOAP Note verification","","Tue Oct 07 11:33:51 IST 2025","passed","Tue Oct 07 11:35:44 IST 2025","","new patient E2E flow -English ","",""
"","8971","Verify error message( when email is not provided {TC05}","","Tue Oct 07 11:41:26 IST 2025","passed","Tue Oct 07 11:41:35 IST 2025","","Login screen all scenarios in Spanish ","",""
"","15309","Verify error message when an incorrect password is entered {TC04}","","Tue Oct 07 11:41:11 IST 2025","passed","Tue Oct 07 11:41:26 IST 2025","","Login screen all scenarios in Spanish ","",""
"","70618","Feed back on the doctor genaration and Regenaration ","","Tue Oct 07 11:31:47 IST 2025","passed","Tue Oct 07 11:32:58 IST 2025","","new patient E2E flow -English ","",""
"","18018","Intiating the conversation for a Existing conversation","","Tue Oct 07 10:37:55 IST 2025","passed","Tue Oct 07 10:38:13 IST 2025","","Existing patient E2E flow in English","",""
"","78782","Care Plan generation and Regeneration ","","Tue Oct 07 12:42:48 IST 2025","passed","Tue Oct 07 12:44:07 IST 2025","","New patient E2E flow -Spnish","",""
"","138863","Second Conversation Intiation ","","Tue Oct 07 11:53:07 IST 2025","passed","Tue Oct 07 11:55:26 IST 2025","","Existing patient E2E flow in Spanish","",""
"","20360","finalize Encounter","","Tue Oct 07 12:14:57 IST 2025","passed","Tue Oct 07 12:15:17 IST 2025","","Existing patient E2E flow in Spanish","",""
"","155678","ICD & CPT Codes Generation and Regeneration","","Tue Oct 07 12:40:13 IST 2025","passed","Tue Oct 07 12:42:48 IST 2025","","New patient E2E flow -Spnish","",""
"","49783","Offline mode app pause/Stop buttons verification","","Tue Oct 07 10:42:37 IST 2025","passed","Tue Oct 07 10:43:27 IST 2025","","Existing patient E2E flow in English","",""
"","128899","SOAP NOTE  & Transcript Verification for the second conversation","","Tue Oct 07 11:20:37 IST 2025","passed","Tue Oct 07 11:22:46 IST 2025","","new patient E2E flow -English ","",""
"","65543","Regenerate SOAP Note verification","","Tue Oct 07 11:03:34 IST 2025","passed","Tue Oct 07 11:04:40 IST 2025","","Existing patient E2E flow in English","",""
"","63873","Care Plan generation and Regeneration ","","Tue Oct 07 10:59:59 IST 2025","passed","Tue Oct 07 11:01:03 IST 2025","","Existing patient E2E flow in English","",""
"","20125","Intiating the conversation for a Existing conversation","","Tue Oct 07 11:44:57 IST 2025","passed","Tue Oct 07 11:45:17 IST 2025","","Existing patient E2E flow in Spanish","",""
"","23668","Verify Settings screen launguage and general settings","","Tue Oct 07 10:09:31 IST 2025","passed","Tue Oct 07 10:09:55 IST 2025","","Setting screen elments and functinality verification -English","",""
"","151260","ICD & CPT Codes Generation and Regeneration","","Tue Oct 07 12:05:52 IST 2025","passed","Tue Oct 07 12:08:23 IST 2025","","Existing patient E2E flow in Spanish","",""
"","0","Verify Settings screen Profille Edit ","","Tue Oct 07 11:43:42 IST 2025","skipped","Tue Oct 07 11:43:42 IST 2025","","Setting screen elments and functinalily verification -Spanish","",""
"","41075","update and HayNoki update verification","","Tue Oct 07 11:04:40 IST 2025","passed","Tue Oct 07 11:05:21 IST 2025","","Existing patient E2E flow in English","",""
"","11891","Verify  message not entering  email in forgot password screen","","Tue Oct 07 11:38:48 IST 2025","passed","Tue Oct 07 11:39:00 IST 2025","","Forgot Password all scenarios in spanish","",""
"","149930","Intiating the conversation for a Newly created Patient","","Tue Oct 07 12:16:33 IST 2025","passed","Tue Oct 07 12:19:03 IST 2025","","New patient E2E flow -Spnish","",""
"","70381","Feed back on the doctor genaration and Regenaration ","","Tue Oct 07 11:01:03 IST 2025","passed","Tue Oct 07 11:02:13 IST 2025","","Existing patient E2E flow in English","",""
"","0","Offline mode app kill state verification","","Tue Oct 07 12:23:32 IST 2025","skipped","Tue Oct 07 12:23:32 IST 2025","","New patient E2E flow -Spnish","",""
"","92912","Feed back on the doctor genaration and Regenaration ","","Tue Oct 07 12:44:07 IST 2025","passed","Tue Oct 07 12:45:40 IST 2025","","New patient E2E flow -Spnish","",""
"","73464","Care Plan generation and Regeneration ","","Tue Oct 07 12:08:23 IST 2025","passed","Tue Oct 07 12:09:37 IST 2025","","Existing patient E2E flow in Spanish","",""
"","281564","Recording the conversation for multiple times offline ","","Tue Oct 07 11:09:40 IST 2025","passed","Tue Oct 07 11:14:21 IST 2025","","new patient E2E flow -English ","",""
"","366420","Thiord Conversation {makingh the converastion as draft and completing the draft Transcript }","","Tue Oct 07 11:57:30 IST 2025","passed","Tue Oct 07 12:03:37 IST 2025","","Existing patient E2E flow in Spanish","",""
"","0","update and HayNoki update verification","","Tue Oct 07 11:35:44 IST 2025","skipped","Tue Oct 07 11:35:44 IST 2025","","new patient E2E flow -English ","",""
"","8863","Verify error message when an incorrectly formatted email is entered {TC07}","","Tue Oct 07 10:07:25 IST 2025","passed","Tue Oct 07 10:07:34 IST 2025","","Login screen all senarios in English","",""
"","165098","SOAP NOTE  & Transcript Verification for the First conversation","","Tue Oct 07 10:43:27 IST 2025","passed","Tue Oct 07 10:46:12 IST 2025","","Existing patient E2E flow in English","",""
"","13406","Verify error message when password is not provided {TC03}","","Tue Oct 07 10:06:47 IST 2025","passed","Tue Oct 07 10:07:00 IST 2025","","Login screen all senarios in English","",""
"","0","manual update verification","","Tue Oct 07 12:14:08 IST 2025","skipped","Tue Oct 07 12:14:08 IST 2025","","Existing patient E2E flow in Spanish","",""
"","9721","Verify error message when an incorrectly formatted email is entered {TC07}","","Tue Oct 07 11:41:35 IST 2025","passed","Tue Oct 07 11:41:45 IST 2025","","Login screen all scenarios in Spanish ","",""
"","49241","Referall leter genaration and Regenaration","","Tue Oct 07 12:45:40 IST 2025","passed","Tue Oct 07 12:46:29 IST 2025","","New patient E2E flow -Spnish","",""
"","89989","Feed back on the doctor genaration and Regenaration ","","Tue Oct 07 12:09:37 IST 2025","passed","Tue Oct 07 12:11:07 IST 2025","","Existing patient E2E flow in Spanish","",""
"","154452","ICD & CPT Codes Generation and Regeneration","","Tue Oct 07 10:57:24 IST 2025","passed","Tue Oct 07 10:59:59 IST 2025","","Existing patient E2E flow in English","",""
"","183376","SOAP NOTE  & Transcript Verification for the Third Conversation","","Tue Oct 07 10:54:21 IST 2025","passed","Tue Oct 07 10:57:24 IST 2025","","Existing patient E2E flow in English","",""
"","124551","SOAP NOTE  & Transcript Verification for the second conversation","","Tue Oct 07 11:55:26 IST 2025","passed","Tue Oct 07 11:57:30 IST 2025","","Existing patient E2E flow in Spanish","",""
